Index;ID;Spoj;Linka;ZastavkaStart;ZastavkaFinish;CasStart;CasFinish;Trvanie;Vzdialenost;Spotreba
101;105;102;7;39;59;379;404;25;10.1;83
102;109;18;9;103;31;380;400;20;9.0;100
103;128;12;10;91;31;380;400;20;9.2;37
104;618;7;62;5;5;380;414;34;13.8;91
105;398;12;30;10;59;381;402;21;8.5;67
106;252;8;11;91;31;383;410;27;11.8;95
107;131;15;10;31;91;385;405;20;8.9;55
108;645;10;70;91;93;387;409;22;9.9;81
109;400;14;30;10;93;388;410;22;9.4;86
110;403;17;30;18;10;388;406;18;7.5;9
111;536;13;43;31;64;389;409;20;8.0;39
112;45;12;7;39;59;389;414;25;10.1;74
113;48;15;7;59;39;389;415;26;10.2;39
114;133;17;10;31;91;390;416;26;12.2;19
115;648;13;70;59;91;392;412;20;9.0;44
116;535;12;43;64;31;393;413;20;7.5;88
117;130;14;10;91;31;395;415;20;9.2;34
118;588;6;52;29;69;395;411;16;7.7;79
119;402;16;30;10;59;396;417;21;8.5;45
120;325;5;13;18;43;402;426;24;11.5;20
121;647;12;70;91;59;402;422;20;9.0;78
122;299;5;12;18;24;403;425;22;10.5;7
123;405;19;30;59;10;403;426;23;9.0;47
124;255;11;11;31;91;405;435;30;12.0;159
125;132;16;10;101;31;405;430;25;11.2;70
126;354;13;27;59;70;407;440;33;15.5;40
127;47;14;7;85;59;407;429;22;8.9;35
128;538;15;43;31;64;409;429;20;8.0;14
129;50;17;7;59;89;409;432;23;9.0;10
130;589;7;52;18;29;410;420;10;4.0;11
131;619;9;62;5;5;410;444;34;13.8;22
132;650;15;70;18;91;412;427;15;7.5;20
133;537;14;43;64;31;413;433;20;7.5;43
134;408;23;30;59;10;413;436;23;9.0;11
135;652;17;70;93;91;414;436;22;9.9;11
136;135;19;10;31;91;415;435;20;8.9;84
137;353;12;27;70;59;415;448;33;15.5;95
138;649;14;70;91;59;417;437;20;9.0;76
139;541;19;43;31;64;419;439;20;8.0;20
140;49;16;7;39;59;419;444;25;10.1;84
141;52;19;7;59;39;419;445;26;10.2;10
142;24;1;3;45;91;419;435;16;7.6;100
143;411;27;30;93;10;421;446;25;9.9;11
144;404;18;30;10;59;421;442;21;8.5;185
145;254;10;11;91;31;423;450;27;11.8;213
146;134;18;10;91;31;425;445;20;9.2;33
147;590;8;52;29;56;425;435;10;4.3;77
148;106;104;7;39;59;429;454;25;10.1;134
149;300;6;12;24;56;430;454;24;10.8;135
150;137;21;10;31;91;430;450;20;8.9;45
151;31;9;3;91;91;430;450;20;6.1;100
152;355;14;27;70;59;430;463;33;15.5;76
153;407;22;30;10;56;431;447;16;7.3;5
154;326;6;13;43;56;431;458;27;11.8;33
155;406;20;30;10;59;431;452;21;8.5;11
156;540;18;43;64;31;433;453;20;7.5;67
157;539;16;43;64;31;433;453;20;7.5;26
158;413;29;30;59;10;433;456;23;9.0;20
159;54;21;7;59;39;434;460;26;10.2;22
160;257;13;11;31;91;435;465;30;12.0;55
161;591;9;52;69;29;435;450;15;6.9;23
162;654;19;70;59;91;437;457;20;9.0;14
163;51;18;7;85;59;437;459;22;8.9;46
164;356;15;27;59;70;437;470;33;15.5;24
165;28;6;3;91;31;440;465;25;10.6;100
166;25;2;3;10;31;440;460;20;8.7;100
167;653;18;70;91;56;440;461;21;12.2;31
168;635;101;62;5;5;440;474;34;13.8;80
169;136;20;10;91;31;440;460;20;9.2;19
170;651;16;70;91;59;440;466;26;13.4;57
171;409;24;30;10;93;441;464;23;9.4;70
172;410;26;30;10;56;441;457;16;7.3;127
173;542;20;43;64;31;443;463;20;7.5;70
174;256;12;11;91;31;443;470;27;11.8;110
175;32;10;3;10;106;445;460;15;8.4;100
176;30;8;3;10;107;445;460;15;7.2;100
177;357;16;27;70;59;445;478;33;15.5;76
178;139;23;10;31;91;445;465;20;8.9;64
179;26;4;3;29;107;447;460;13;4.8;100
180;415;31;30;59;10;448;471;23;9.0;20
181;53;20;7;39;59;449;474;25;10.1;64
182;543;21;43;31;64;449;469;20;8.0;57
183;620;11;62;5;5;450;484;34;13.8;47
184;412;28;30;10;56;451;467;16;7.3;17
185;656;21;70;59;91;452;472;20;9.0;71
186;56;23;7;59;89;454;477;23;9.0;4
187;138;22;10;91;31;455;475;20;9.2;95
188;592;10;52;29;56;455;465;10;4.3;80
189;141;25;10;31;91;460;480;20;8.9;75
190;414;30;30;10;59;461;482;21;8.5;73
191;327;7;13;18;43;462;486;24;11.5;9
192;655;20;70;91;56;462;477;15;7.8;35
193;301;7;12;18;24;463;485;22;10.5;4
194;417;33;30;59;10;463;486;23;9.0;17
195;55;22;7;39;59;464;489;25;10.1;61
196;658;23;70;59;91;467;487;20;9.0;16
197;58;25;7;59;89;469;492;23;9.0;7
198;140;24;10;91;31;470;490;20;9.2;25
199;544;22;43;64;31;473;493;20;7.5;28
200;258;14;11;91;31;473;500;27;11.8;42
201;143;27;10;31;91;475;495;20;8.9;75
202;359;18;27;70;59;475;508;33;15.5;57
203;416;32;30;10;59;476;497;21;8.5;51
204;657;22;70;91;59;477;497;20;9.0;39
205;60;27;7;59;39;479;505;26;10.2;6
206;621;13;62;5;54;480;503;23;9.0;4
207;419;35;30;93;10;481;506;25;9.9;20
208;660;25;70;59;91;482;502;20;9.0;19
209;57;24;7;85;59;482;504;22;8.9;31
210;142;26;10;91;31;485;505;20;9.2;38
211;511;1;35;18;56;488;517;29;14.1;56
212;302;8;12;24;56;490;514;24;10.8;44
213;145;29;10;31;91;490;510;20;8.9;36
214;418;34;30;10;59;491;512;21;8.5;57
215;328;8;13;43;59;491;522;31;13.0;56
216;659;24;70;91;59;492;512;20;9.0;50
217;259;15;11;31;91;495;525;30;12.0;40
218;59;26;7;85;59;497;519;22;8.9;32
219;358;17;27;59;70;497;530;33;15.5;41
220;144;28;10;91;31;500;520;20;9.2;23
221;662;27;70;81;91;500;517;17;7.8;8
222;147;31;10;31;91;505;525;20;8.9;37
223;661;26;70;91;56;507;522;15;7.8;25
224;421;37;30;18;10;508;526;18;7.5;5
225;61;28;7;39;59;509;534;25;10.1;52
226;545;23;43;31;64;509;529;20;8.0;30
227;622;15;62;5;5;510;544;34;13.8;37
228;420;36;30;10;56;511;527;16;7.3;4
229;664;29;70;59;91;512;532;20;9.0;59
230;146;30;10;91;31;515;535;20;9.2;69
231;149;33;10;31;91;520;540;20;8.9;43
232;497;1;34;18;56;521;551;30;14.6;70
233;663;28;70;91;59;522;542;20;9.0;59
234;423;39;30;59;10;523;546;23;9.0;11
235;148;32;10;91;31;530;550;20;9.2;18
236;422;38;30;10;59;531;552;21;8.5;72
237;260;16;11;91;31;533;560;27;11.8;36
238;546;24;43;64;31;533;553;20;7.5;91
239;151;35;10;31;91;535;555;20;8.9;68
240;329;9;13;59;43;537;566;29;13.0;23
241;665;30;70;91;56;537;552;15;7.8;27
242;62;29;7;59;39;539;565;26;10.2;22
243;107;106;7;39;59;539;564;25;10.1;97
244;361;20;27;70;59;540;573;33;15.5;90
245;150;34;10;91;31;545;565;20;9.2;43
246;666;31;70;81;91;545;562;17;7.8;15
247;425;41;30;18;10;548;566;18;7.5;10
248;512;3;35;18;56;548;577;29;14.1;34
249;153;37;10;31;91;550;570;20;8.9;50
250;424;40;30;10;59;551;572;21;8.5;58
251;593;11;52;69;29;555;570;15;6.9;5
252;261;17;11;31;91;555;585;30;12.0;51
253;152;36;10;91;31;560;580;20;9.2;78
254;427;43;30;59;10;563;586;23;9.0;18
255;155;39;10;31;91;565;585;20;8.9;64
256;667;32;70;91;59;567;587;20;9.0;69
257;63;30;7;39;59;569;594;25;10.1;47
258;547;25;43;31;64;569;589;20;8.0;33
259;623;17;62;5;5;570;604;34;13.8;44
260;426;42;30;10;59;571;592;21;8.5;19
261;330;10;13;43;56;571;598;27;11.8;46
262;303;9;12;59;24;573;600;27;12.0;48
263;668;33;70;81;91;575;592;17;7.8;27
264;594;12;52;29;56;575;585;10;4.3;32
265;154;38;10;91;31;575;595;20;9.2;35
266;157;41;10;31;91;580;600;20;8.9;35
267;498;3;34;18;56;581;611;30;14.6;43
268;429;45;30;59;10;583;606;23;9.0;16
269;360;19;27;59;70;587;620;33;15.5;48
270;156;40;10;91;31;590;610;20;9.2;46
271;428;44;30;10;59;591;612;21;8.5;54
272;262;18;11;91;31;593;620;27;11.8;23
273;548;26;43;64;31;593;613;20;7.5;44
274;159;43;10;31;91;595;615;20;8.9;49
275;669;34;70;91;59;597;617;20;9.0;33
276;670;35;70;59;91;602;622;20;9.0;25
277;64;31;7;59;89;604;627;23;9.0;14
278;304;10;12;24;56;605;629;24;10.8;56
279;158;42;10;91;31;605;625;20;9.2;58
280;513;5;35;18;56;608;637;29;14.1;38
281;161;45;10;31;91;610;630;20;8.9;64
282;430;46;30;10;59;611;632;21;8.5;42
283;431;47;30;59;10;613;636;23;9.0;44
284;263;19;11;31;91;615;645;30;12.0;46
285;160;44;10;91;31;620;640;20;9.2;45
286;163;47;10;31;91;625;645;20;8.9;76
287;671;36;70;91;59;627;647;20;9.0;65
288;549;27;43;31;64;629;649;20;8.0;41
289;363;22;27;70;59;629;662;33;15.5;67
290;624;19;62;5;5;630;684;54;13.8;32
291;672;37;70;59;91;632;652;20;9.0;46
292;65;32;7;85;59;632;654;22;8.9;41
293;162;46;10;91;31;635;655;20;9.2;22
294;165;49;10;31;91;640;660;20;8.9;53
295;432;48;30;10;59;641;662;21;8.5;58
296;499;5;34;18;56;641;671;30;14.6;40
297;433;49;30;59;10;643;666;23;9.0;18
298;164;48;10;91;31;650;670;20;9.2;70
299;264;20;11;91;31;653;680;27;11.8;33
300;550;28;43;64;31;653;673;20;7.5;47
301;167;51;10;31;91;655;675;20;8.9;71
302;331;11;13;59;43;657;686;29;13.0;29
303;673;38;70;91;56;657;672;15;7.8;14
304;674;39;70;59;91;662;682;20;9.0;37
305;66;33;7;59;89;664;687;23;9.0;19
306;166;50;10;91;31;665;685;20;9.2;58
307;514;7;35;18;56;668;697;29;14.1;27
308;169;53;10;31;91;670;690;20;8.9;38
309;434;50;30;10;59;671;692;21;8.5;24
310;435;51;30;59;10;673;696;23;9.0;30
311;265;21;11;31;91;675;705;30;12.0;47
312;168;52;10;91;31;680;700;20;9.2;53
313;595;13;52;18;29;680;690;10;4.0;13
314;171;55;10;31;91;685;705;20;8.9;69
315;675;40;70;91;59;687;707;20;9.0;46
316;551;29;43;31;64;689;709;20;8.0;49
317;625;21;62;5;5;690;724;34;13.8;22
318;332;12;13;43;56;691;718;27;11.8;40
319;67;34;7;85;59;692;714;22;8.9;39
320;305;11;12;59;24;693;720;27;12.0;51
321;596;14;52;29;56;695;705;10;4.3;18
322;170;54;10;91;31;695;715;20;9.2;27
323;676;41;70;81;91;695;712;17;7.8;49
324;173;57;10;31;91;700;720;20;8.9;24
325;500;7;34;18;56;701;731;30;14.6;38
326;436;52;30;10;59;701;722;21;8.5;26
327;437;53;30;59;10;703;726;23;9.0;17
328;362;21;27;59;70;707;740;33;15.5;78
329;172;56;10;91;31;710;730;20;9.2;33
330;552;30;43;64;31;713;733;20;7.5;37
331;266;22;11;91;31;713;740;27;11.8;26
332;175;59;10;31;91;715;735;20;8.9;48
333;677;42;70;91;59;717;737;20;9.0;26
334;68;35;7;59;39;719;745;26;10.2;63
335;678;43;70;59;91;722;742;20;9.0;23
336;174;58;10;91;31;725;745;20;9.2;49
337;306;12;12;24;56;725;749;24;10.8;43
338;515;9;35;18;56;728;757;29;14.1;63
339;177;61;10;31;91;730;750;20;8.9;44
340;438;54;30;10;59;731;752;21;8.5;24
341;439;55;30;59;10;733;756;23;9.0;41
342;267;23;11;31;91;735;765;30;12.0;34
343;176;60;10;91;31;740;760;20;9.2;56
344;179;63;10;31;91;745;765;20;8.9;103
345;679;44;70;91;59;747;767;20;9.0;65
346;365;24;27;70;59;749;782;33;15.5;73
347;69;36;7;39;59;749;774;25;10.1;91
348;553;31;43;31;64;749;769;20;8.0;54
349;626;23;62;5;5;750;784;34;13.8;27
350;680;45;70;59;91;752;772;20;9.0;61
351;178;62;10;91;31;755;775;20;9.2;27
352;181;65;10;31;91;760;780;20;8.9;23
353;440;56;30;10;59;761;782;21;8.5;53
354;501;9;34;18;56;761;791;30;14.6;59
355;441;57;30;59;10;763;786;23;9.0;22
356;269;25;11;31;91;765;795;30;12.0;32
357;180;64;10;91;31;770;790;20;9.2;50
358;268;24;11;91;31;773;800;27;11.8;41
359;554;32;43;64;31;773;793;20;7.5;37
360;183;67;10;31;91;775;795;20;8.9;111
361;681;46;70;91;59;777;797;20;9.0;34
362;364;23;27;59;70;777;810;33;15.5;86
363;555;33;43;31;64;779;799;20;8.0;37
364;70;37;7;59;39;779;805;26;10.2;37
365;682;47;70;59;91;782;802;20;9.0;23
366;386;102;27;70;59;785;822;37;18.3;123
367;182;66;10;91;31;785;805;20;9.2;38
368;333;13;13;59;43;787;816;29;13.0;35
369;516;11;35;18;56;788;817;29;14.1;50
370;185;69;10;31;91;790;810;20;8.9;44
371;502;11;34;18;56;791;821;30;14.6;30
372;442;58;30;10;59;791;812;21;8.5;42
373;443;59;30;59;10;793;816;23;9.0;42
374;271;27;11;31;91;795;825;30;12.0;38
375;597;15;52;69;29;795;810;15;6.9;20
376;684;49;70;59;91;797;817;20;9.0;46
377;110;19;9;31;103;798;821;23;9.5;100
378;71;38;7;39;59;799;827;28;12.9;63
379;184;68;10;91;31;800;820;20;9.2;45
380;8;8;1;108;102;800;825;25;15.6;100
381;270;26;11;91;31;803;830;27;11.8;27
382;556;34;43;64;31;803;823;20;7.5;26
383;187;71;10;31;91;805;825;20;8.9;79
384;10;10;1;10;102;805;825;20;10.7;100
385;366;25;27;59;70;807;840;33;15.5;53
386;683;48;70;91;59;807;827;20;9.0;23
387;445;61;30;59;10;808;831;23;9.0;43
388;557;35;43;31;64;809;829;20;8.0;30
389;12;12;1;29;102;810;825;15;8.3;100
390;16;16;1;11;102;810;825;15;7.6;100
391;627;25;62;5;5;810;844;34;13.8;57
392;686;51;70;59;91;812;832;20;9.0;51
393;33;11;3;91;91;813;833;20;6.1;100
394;72;39;7;59;89;814;837;23;9.0;26
395;598;16;52;29;69;815;831;16;7.7;19
396;599;17;52;18;44;815;830;15;5.5;16
397;186;70;10;91;31;815;835;20;9.2;65
398;367;26;27;70;59;815;848;33;15.5;42
399;307;13;12;59;24;818;845;27;12.0;58
400;517;13;35;18;56;818;847;29;14.1;54
401;189;73;10;31;91;820;840;20;8.9;15
402;444;60;30;10;59;821;842;21;8.5;29
403;503;13;34;18;56;821;851;30;14.6;28
404;334;14;13;43;56;821;848;27;11.8;21
405;685;50;70;91;59;822;842;20;9.0;64
406;447;63;30;59;10;823;846;23;9.0;47
407;74;41;7;59;39;824;850;26;10.2;15
408;273;29;11;31;91;825;855;30;12.0;39
409;688;53;70;59;91;827;847;20;9.0;15
410;188;72;10;91;31;830;850;20;9.2;30
411;19;7;2;59;26;830;847;17;6.1;100
412;272;28;11;91;31;833;860;27;11.8;44
413;558;36;43;64;31;833;853;20;7.5;21
414;191;75;10;31;91;835;855;20;8.9;65
415;446;62;30;10;59;836;857;21;8.5;5
416;368;27;27;59;70;837;870;33;15.5;63
417;687;52;70;91;59;837;857;20;9.0;25
418;449;65;30;59;10;838;861;23;9.0;50
419;559;37;43;31;64;839;859;20;8.0;77
420;27;5;3;107;10;840;855;15;9.4;100
421;29;7;3;31;10;840;863;23;8.9;100
422;73;40;7;85;59;842;864;22;8.9;33
423;690;55;70;59;91;842;862;20;9.0;77
424;76;43;7;59;89;844;867;23;9.0;10
425;190;74;10;91;31;845;869;24;12.0;38
426;369;28;27;70;59;845;878;33;15.5;42
427;518;15;35;18;56;848;877;29;14.1;27
428;193;77;10;31;101;850;880;30;14.2;129
429;600;18;52;44;56;850;865;15;5.8;10
430;335;15;13;59;43;850;887;37;16.0;35
431;308;14;12;24;56;850;874;24;10.8;48
432;448;64;30;10;93;851;874;23;9.4;39
433;504;15;34;18;56;851;881;30;14.6;25
434;451;67;30;59;10;851;876;25;10.1;45
435;689;54;70;91;93;852;874;22;9.9;29
436;78;45;7;59;39;854;886;32;13.5;38
437;75;42;7;39;59;854;879;25;10.1;45
438;1;1;1;102;10;855;872;17;10.7;100
439;3;3;1;102;29;855;870;15;8.3;100
440;5;5;1;102;84;855;880;25;16.4;100
441;602;21;52;69;29;855;870;15;6.9;25
442;15;15;1;102;73;855;873;18;7.3;100
443;275;31;11;31;91;855;885;30;12.0;80
444;20;8;2;26;31;855;870;15;7.2;100
445;692;57;70;59;91;857;877;20;9.0;75
446;111;20;9;103;31;860;880;20;9.0;100
447;192;76;10;91;31;860;880;20;9.2;25
448;274;30;11;91;31;863;890;27;11.8;65
449;560;38;43;64;31;863;883;20;7.5;24
450;195;79;10;31;91;865;885;20;8.9;78
451;450;66;30;10;56;866;882;16;7.3;13
452;370;29;27;59;70;867;900;33;15.5;66
453;691;56;70;91;59;867;887;20;9.0;29
454;561;39;43;31;64;869;892;23;9.0;54
455;628;27;62;5;5;870;904;34;13.8;45
456;77;44;7;85;59;872;894;22;8.9;24
457;694;59;70;59;91;872;892;20;9.0;52
458;453;69;30;18;10;873;891;18;7.5;8
459;80;47;7;59;89;874;897;23;9.0;29
460;371;30;27;70;59;875;908;33;15.5;59
461;601;20;52;29;69;875;891;16;7.7;21
462;519;17;35;18;56;878;907;29;14.1;77
463;194;78;10;91;31;880;900;20;9.2;47
464;197;81;10;31;91;880;900;20;8.9;40
465;452;68;30;10;59;881;902;21;8.5;28
466;505;17;34;18;56;881;911;30;14.6;21
467;455;71;30;93;10;881;906;25;9.9;51
468;693;58;70;91;59;882;902;20;9.0;27
469;309;15;12;18;24;883;905;22;10.5;47
470;82;49;7;59;39;884;910;26;10.2;87
471;277;33;11;31;91;885;915;30;12.0;46
472;696;61;70;93;91;885;907;22;9.9;47
473;196;80;10;101;31;885;910;25;11.2;44
474;79;46;7;39;59;890;915;25;10.1;77
475;604;23;52;18;29;890;900;10;4.0;7
476;336;16;13;43;56;892;919;27;11.8;46
477;562;40;43;64;31;893;913;20;7.5;31
478;276;32;11;91;31;893;920;27;11.8;44
479;199;83;10;31;91;895;915;20;8.9;79
480;454;70;30;10;56;896;912;16;7.3;5
481;695;60;70;91;59;897;917;20;9.0;56
482;372;31;27;59;70;897;930;33;15.5;63
483;84;51;7;59;39;899;925;26;10.2;45
484;563;41;43;31;64;899;919;20;8.0;83
485;698;63;70;59;91;902;922;20;9.0;62
486;81;48;7;85;59;902;924;22;8.9;12
487;457;73;30;18;10;903;921;18;7.5;58
488;373;32;27;70;59;905;938;33;15.5;43
489;603;22;52;29;56;905;915;10;4.3;7
490;198;82;10;91;31;905;929;24;12.0;27
491;337;17;13;59;43;907;936;29;13.0;69
492;520;19;35;18;56;908;937;29;14.1;60
493;310;16;12;24;59;910;938;28;12.0;53
494;201;85;10;31;101;910;940;30;14.2;79
495;456;72;30;10;93;911;934;23;9.4;37
496;459;75;30;59;10;911;936;25;10.1;48
497;506;19;34;18;56;911;941;30;14.6;21
498;697;62;70;91;93;912;934;22;9.9;61
499;83;50;7;39;59;914;939;25;10.1;19
500;606;25;52;69;29;915;930;15;6.9;37
501;279;35;11;31;91;915;945;30;12.0;58
502;700;65;70;59;91;917;937;20;9.0;45
503;86;53;7;59;89;919;948;29;12.3;53
504;200;84;10;91;31;920;940;20;9.2;38
505;278;34;11;91;31;923;950;27;11.8;62
506;564;42;43;64;31;923;943;20;7.5;23
507;203;87;10;31;91;925;945;20;8.9;94
508;458;74;30;10;59;926;947;21;8.5;8
509;699;64;70;91;59;927;947;20;9.0;35
510;374;33;27;59;70;927;960;33;15.5;69
511;85;52;7;39;59;929;954;25;10.1;19
512;565;43;43;31;64;929;949;20;8.0;72
513;629;29;62;5;5;930;964;34;13.8;58
514;702;67;70;59;91;932;952;20;9.0;88
515;461;77;30;18;10;933;951;18;7.5;93
516;88;55;7;59;89;934;957;23;9.0;53
517;375;34;27;70;59;935;968;33;15.5;51
518;605;24;52;29;69;935;951;16;7.7;4
519;521;21;35;18;56;938;967;29;14.1;42
520;202;86;10;91;31;940;960;20;9.2;65
521;205;89;10;31;91;940;960;20;8.9;80
522;460;76;30;10;59;941;962;21;8.5;31
523;463;79;30;93;10;941;966;25;9.9;55
524;507;21;34;18;56;941;971;30;14.6;31
525;338;18;13;43;56;941;968;27;11.8;21
526;701;66;70;91;59;942;962;20;9.0;14
527;90;57;7;59;39;944;970;26;10.2;46
528;204;88;10;101;31;945;970;25;11.2;41
529;704;69;70;93;91;945;967;22;9.9;61
530;465;81;30;59;10;948;971;23;9.0;38
531;608;27;52;18;29;950;960;10;4.0;9
532;566;44;43;64;31;953;973;20;7.5;27
533;280;36;11;91;31;953;980;27;11.8;39
534;87;54;7;85;59;953;975;22;8.9;23
535;311;17;12;59;24;954;981;27;12.0;128
536;207;91;10;31;91;955;975;20;8.9;22
537;462;78;30;10;59;956;977;21;8.5;5
538;376;35;27;59;70;957;990;33;15.5;40
539;703;68;70;91;59;957;977;20;9.0;33
540;467;83;30;59;10;958;981;23;9.0;64
541;567;45;43;31;64;959;979;20;8.0;57
542;706;71;70;59;91;962;987;25;10.9;56
543;89;56;7;85;59;962;984;22;8.9;11
544;377;36;27;70;59;965;998;33;15.5;27
545;607;26;52;29;56;965;975;10;4.3;2
546;206;90;10;91;31;965;985;20;9.2;44
547;464;80;30;10;56;966;982;16;7.3;6
548;209;93;10;31;91;970;990;20;8.9;32
549;705;70;70;91;59;972;992;20;9.0;56
550;339;19;13;18;43;972;996;24;11.5;40
551;469;85;30;59;10;973;996;23;9.0;69
552;91;58;7;39;59;974;999;25;10.1;39
553;104;101;7;59;39;974;1000;26;10.2;45
554;281;37;11;31;91;975;1005;30;12.0;68
555;610;29;52;69;29;975;990;15;6.9;5
556;466;82;30;10;59;976;997;21;8.5;30
557;708;73;70;59;91;977;997;20;9.0;20
558;208;92;10;91;31;980;1000;20;9.2;44
559;568;46;43;64;31;983;1003;20;7.5;31
560;211;95;10;31;91;985;1005;20;8.9;71
561;312;18;12;24;56;986;1010;24;10.8;16
562;468;84;30;10;59;986;1007;21;8.5;22
563;569;47;43;31;64;989;1009;20;8.0;72
564;630;31;62;5;5;990;1024;34;13.8;28
565;707;72;70;91;59;992;1012;20;9.0;78
566;710;75;70;59;91;992;1012;20;9.0;51
567;471;87;30;18;10;993;1011;18;7.5;46
568;379;38;27;70;59;995;1028;33;15.5;27
569;609;28;52;29;56;995;1005;10;4.3;16
570;210;94;10;91;31;995;1015;20;9.2;29
571;522;23;35;18;56;998;1027;29;14.1;31
572;213;97;10;31;91;1000;1020;20;8.9;84
573;340;20;13;43;59;1001;1032;31;13.0;25
574;508;23;34;18;56;1001;1031;30;14.6;16
575;470;86;30;10;59;1001;1022;21;8.5;40
